line_id,timestamp,label,is_anomaly_label,content,template_id,template,dataset
1,2005-06-03 15:42:50.675872,-,False,instruction cache parity error corrected,1,instruction cache parity error corrected,BGL
2,2005-06-03 15:42:53.276129,-,False,instruction cache parity error corrected,1,instruction cache parity error corrected,BGL
3,2005-06-03 15:49:36.156884,-,False,instruction cache parity error corrected,1,instruction cache parity error corrected,BGL
4,2005-06-03 15:49:38.026704,-,False,instruction cache parity error corrected,1,instruction cache parity error corrected,BGL
5,2005-06-03 16:47:20.730545,-,False,63543 double-hummer alignment exceptions,2,63543 double-hummer alignment exceptions,BGL
6,2005-06-03 16:56:14.254137,-,False,162 double-hummer alignment exceptions,2,<*> double-hummer alignment exceptions,BGL
7,2005-06-03 16:56:55.309974,-,False,141 double-hummer alignment exceptions,2,<*> double-hummer alignment exceptions,BGL
8,2005-06-03 18:21:59.871925,-,False,"CE sym 2, at 0x0b85eee0, mask 0x05",3,"CE sym 2, at 0x0b85eee0, mask 0x05",BGL
9,2005-06-04 00:24:32.432192,APPREAD,True,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,4,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,BGL
10,2005-06-04 00:24:36.222560,APPREAD,True,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,4,ciod: failed to read message prefix on control stream (CioStream socket to <*>,BGL
11,2005-06-04 20:28:40.767551,-,False,"CE sym 20, at 0x1438f9e0, mask 0x40",3,CE sym <*> at <*> mask <*>,BGL
12,2005-06-05 00:09:01.903373,-,False,generating core.2275,5,generating core.2275,BGL
13,2005-06-05 00:09:52.516674,-,False,generating core.862,5,generating <*>,BGL
14,2005-06-05 00:36:20.945796,-,False,generating core.728,5,generating <*>,BGL
15,2005-06-05 00:37:25.012681,-,False,generating core.775,5,generating <*>,BGL
16,2005-06-05 01:18:21.778604,-,False,generating core.3276,5,generating <*>,BGL
17,2005-06-05 01:18:33.830595,-,False,generating core.1717,5,generating <*>,BGL
18,2005-06-05 01:19:23.822135,-,False,generating core.3919,5,generating <*>,BGL
19,2005-06-05 05:15:59.416717,-,False,generating core.2079,5,generating <*>,BGL
20,2005-06-05 05:16:26.686603,-,False,generating core.1414,5,generating <*>,BGL
21,2005-06-05 05:18:39.396608,-,False,generating core.3055,5,generating <*>,BGL
